source,target
3085,3092
9857,5248
9857,7447
9857,9560
9857,3085
5248,1936
5248,5247
5248,30233
5248,19550
5248,80237
18269,147
18269,21200
18269,8349
18269,26466
18269,51551
147,1932312
147,1932313
147,1037
147,3129
147,23920
147,6844
147,68559
147,188707
147,14782
147,190
147,59554
147,1591097
147,1591098
147,1572034
147,2555
147,7004
147,7218
147,1954
147,11160
82702,1227278
82702,2636676
82702,134710
82702,134711
82702,2687948
82702,108881
82702,926
82702,1905
82702,4610
82702,16178
82702,10750
82702,1234966
82702,65605
82702,47775
82702,56367
82702,200
82702,5657
82702,19178
82702,11510
82702,29292
82702,18793
82702,2426206
82702,2284427
82702,3635
82702,110001
82702,54421
82702,3149
82702,16866
82702,138986
82702,85564
82702,122750
82702,109897
82702,70089
82702,6352
82702,13301
82702,1487
82702,1201284
82702,140567
82702,2583773
82702,37934
82702,15310
82702,12207
82702,20156
82702,4347
82702,4299
82702,45042
82702,553721
82702,1789239
82702,27011
82702,8851
82702,543105
82702,3492377
82702,3492379
82702,3492380
65605,990578
65605,1056814
65605,107375
65605,2712640
65605,65606
65605,47775
65605,1304153
65605,87919
65605,928391
65605,16620
65605,25504
65605,160733
47775,87496
47775,2550161
47775,5723
47775,63522
47775,94759
47775,2774840
47775,1179651
47775,216674
47775,11695
47775,893
47775,4723
4483,13570
4483,3417
4483,863
4483,39015
4483,73931
4483,142439
4483,7447
4483,9560
4483,3085
4483,21278
4483,13724
4483,214317
4483,13716
4483,117180
4483,9979
4483,9789
4483,6449
4483,707
4483,11850
4483,9274
4483,19803
4483,1084298
4483,100140
4483,1298360
4483,1935918
4483,1583355
4483,1289968
4483,1718961
4483,2762565
13570,3417
3417,35
3417,21399
3417,21278
3417,13724
3417,7447
68402,5049
68402,68381
5049,17787
5049,201511
5049,10774
5049,68381
5049,9188
5049,47096
5049,136532
5049,20049
5049,35862
5049,65446
5049,10205
5049,4139
5049,65
5049,578
5049,5048
5049,47654
5049,1256731
5049,45588
5049,10980
5049,10989
5049,10990
5049,10828
5049,66266
5049,40832
5049,47513
5049,137928
5049,80112
5049,1487
5049,7487
5049,1428
3092,67773
3092,519
3092,3084
12132,2130
12132,932719
12132,32749
12132,99
12132,6804
12132,69302
12132,65529
12132,4027
12132,1223867
12132,46348
2130,16431
2130,2203
2130,3026
2130,32
2130,932719
2130,64
2130,1776
2130,6384
2130,2127
2130,2128
2130,2675
932719,1238314
932719,204415
106179,80253
106179,93655
106179,10190
106179,5250
106179,326
106179,1747292
106179,142858
106179,117164
106179,39015
10190,50967
10190,93655
10190,5250
5250,1936
5250,5247
5250,5248
5250,940155
5250,86104
5250,231773
8483,8482
8483,6349
8482,6349
8487,8490
8487,6838
8487,7046
8487,1102449
8487,8483
8487,8482
8487,6349
8487,20156
8487,4347
8487,4299
8487,1032
8487,1150
8487,1776
8487,99272
8487,35324
8487,93896
8490,6838
8490,1158
8490,3092
2395,1735828
2395,53397
2395,1811
2395,47096
2395,36811
2395,1870421
2395,2412016
2395,186529
2395,88059
2395,15411
2395,1684452
2395,11108
2395,6352
2395,1430
2395,1428
2395,53396
2395,8534
2395,1121
2395,3392
2395,17051
2395,59315
2395,2838
2395,4756
2395,15152
2395,16940
2395,9309
2395,57551
2395,5726
2395,2157
2395,7904
2395,3072577
2395,2387
2395,2388
2395,1213786
2395,16418
2395,148120
2395,83170
2395,2774840
2395,1179651
2395,216674
2395,73641
2395,1202593
2395,33684
2395,172069
2395,1215522
2395,1896
2395,515
2395,1650331
2395,350
2395,6240
2395,21411
2395,206637
2395,120608
2395,1596910
2395,24045
1735828,53397
1735828,85564
1735828,86800
1735828,14386
1735828,84932
1735828,1214573
1735828,93527
53397,138986
53397,7904
53397,72208
53397,3284
53397,18746
53397,37934
53397,15310
53397,12207
53397,167662
53397,1564846
53397,1473281
53397,2522829
53397,23678
53397,35806
2682390,2227
2682390,4430
2227,75394
2227,1083951
2227,150536
2227,76182
2227,4430
2227,76788
2227,108916
2227,1371
2227,113552
2227,1242514
2227,1246450
2227,326
2227,1747292
2227,106179
2227,204
2227,1306064
2227,1164487
4430,82315
4430,11492
4430,1916574
4430,5168
4430,6449
4430,516
4430,380
4430,4517
4430,71531
4430,1383964
4430,1867979
4430,9805
4430,2641
4430,93328
4430,11770
4430,515
4430,349
4430,40279
4430,40009
4430,21290
4430,5682
4430,44556
4430,20234
4430,1160
4430,1813
4430,37153
449538,13309
449538,1661465
449538,87525
449538,7056
13309,929825
13309,2302408
13309,20019
13309,1658802
13309,964843
13309,1661465
13309,82702
13309,3635
13309,11510
13309,172069
13309,1215522
13309,1896
13309,559610
13309,2198533
13309,2699648
13309,1298360
13309,1935918
13309,1583355
102786,128550
102786,2320880
102786,2503684
102786,107379
102786,55638
102786,1116399
102786,18802
102786,66620
102786,2134341
102786,1068409
102786,1068410
102786,1068411
102786,2954
102786,2301996
102786,149923
102786,1063969
102786,1063970
102786,1152
102786,3331792
102786,120578
102786,1101345
102786,89056
102786,74090
102786,89300
102786,10279
102786,46432
102786,35705
102786,143242
102786,174837
102786,1700943
102786,938972
102786,1236595
102786,3451053
102786,3527796
102786,1745467
102786,68842
102786,1181293
102786,2189099
102786,2569912
102786,2601848
102786,1173567
102786,559610
102786,2198533
102786,2699648
102786,1173480
102786,1348088
102786,1977908
102786,2169865
102786,2920376
102786,2920377
102786,117817
102786,2353023
102786,2932834
128550,2320880
128550,3125
128550,116341
128550,1216701
128550,1736908
128550,1142742
128550,1107983
128550,1280183
128550,1006651
31,32
31,33
31,52
31,5149
31,3197
31,12833
31,3718
31,2574294
31,572541
31,1457107
31,4784
31,516
31,35219
31,7879
31,9261
31,488
31,325
31,70851
31,134
31,707
31,26485
31,54812
31,2585
31,100183
31,13745
31,107602
31,107605
31,1298360
31,1935918
31,1583355
31,5141
31,5139
31,5140
4784,27888
4784,13333
4784,516
4784,60900
4784,1603921
4784,1603922
516,3063345
516,1230063
516,1979
516,2155
516,6449
11784,78021
11784,1226789
11784,65344
11784,42141
11784,2231
11784,2047
11784,2049
78021,52860
78021,1515269
78021,1904715
78021,1198123
78021,106207
78021,2029964
78021,1102159
78021,42545
78021,15832
78021,2772214
78021,3503001
78021,3503002
78021,1404664
78021,1404667
78021,1404668
78021,2037128
78021,1522654
78021,44762
78021,93190
78021,106166
78021,1748
78021,33663
78021,11161
78021,10367
78021,76495
78021,76496
78021,1229317
78021,8891
78021,66885
78021,1133295
78021,1536126
78021,1536127
78021,3027
78021,131120
78021,4955
78021,1376433
78021,1376434
16847,19487
16847,33934
16847,2714
16847,18315
16847,287
16847,19119
16847,27319
16847,52365
16847,21429
16847,1015924
16847,2127
16847,2128
16847,2675
16847,20493
16847,33656
16847,39520
16847,11462
16847,11465
16847,11464
16847,2144
16847,141
16847,2505
2714,155861
2714,1660529
2714,59183
2714,45445
2714,111207
2714,260967
2714,52602
2714,2517
2714,18315
2714,14392
2714,2053
2714,60848
2714,1229762
2714,1337598
2714,31365
2714,23967
2714,16476
2714,78494
2714,571562
2714,75039
2714,141432
2714,1539987
2714,582854
18315,5140
15309,52474
15309,6474
15309,44149
15309,5141
15309,5140
44149,21561
44149,923
44149,29051
102429,102334
102429,19707
102429,1905
102429,31302
102429,34721
102429,100659
102429,1262735
102429,11770
102429,31211
102429,1976249
102429,44762
102429,62923
102429,100476
102429,12515
102429,13578
102429,9925
102429,4786
102429,707
102429,326
102429,83198
102429,101377
102429,141
102429,2922
102429,30814
102429,10828
102429,1032
102429,1006721
102429,11483
102429,1038
102429,4173
102429,349
102429,1666
102429,2226
102429,1776
102429,1158
102429,3087
102429,3092
44762,93190
44762,106166
44762,650
44762,104021
44762,62923
44762,100476
44762,100360
44762,16178
44762,64722
44762,21278
44762,109255
44762,7505
44762,26660
44762,3035391
44762,3035392
44762,82702
44762,926
44762,1905
44762,79084
44762,16028
44762,41955
100360,62923
100360,98226
100360,35579
100360,100359
100360,93190
100360,106166
100360,650
100360,104021
62923,100476
62923,1144715
62923,66758
62923,31309
62923,26660
62923,105207
16178,30807
16178,30808
16178,64722
16178,4610
16178,11173
16178,1319490
16178,926
16178,1905
64722,62596
64722,11357
64722,7404
64722,64719
64722,58710
64722,12515
64722,13578
64722,9925
64722,1036843
64722,1351030
64722,19302
64722,5141
62596,11357
62596,16938
62596,19707
62596,97915
62596,27804
62596,97914
62596,27747
62596,80579
62596,55841
62596,7073
62596,99906
62596,87794
62596,5141
62596,5140
62596,7404
62596,64719
62596,58710
62596,3027
62596,131120
62596,4955
62596,16847
62596,2714
62596,18315
11357,2545
11357,59287
11357,7248
11357,68082
11357,8212
11357,222130
11770,11813
11770,15406
11770,511
11770,33054
11770,31211
11770,1976249
11770,1432094
11770,2159761
11770,515
11770,2932562
11770,2838131
11770,2772005
11770,2772006
11770,44810
11770,4785
11770,6929
11770,113
11770,4955
11770,15175
11770,3027
11770,131120
11770,229715
11770,1250815
11770,39121
11770,6856
11770,65827
11770,11065
515,1650331
515,350
515,32396
515,36190
515,11181
515,44712
515,2056726
515,52154
515,66776
515,40389
515,707
515,26485
515,54812
515,1298360
515,1935918
515,1583355
43774,99596
43774,61956
43774,2628845
43774,85142
43774,38026
43774,51641
43774,45445
43774,44762
43774,650
43774,104021
99596,61956
99596,30810
99596,30112
99596,44762
99596,650
99596,104021
99596,17005
99596,109870
99596,235722
99596,11173
99596,1319490
99596,16178
61956,1660251
61956,1074106
113,510
113,10222
113,4955
113,15175
113,1116483
113,1888957
113,131814
113,25666
113,936
113,5
113,1241229
113,2922
113,19794
113,72717
113,38037
113,222054
113,1483204
113,1483206
113,2532964
113,2532965
113,2532961
113,44762
113,650
113,104021
113,109
113,1327
113,882
113,110
113,62923
113,100476
113,3070363
113,3070364
113,1313
4955,15175
4955,34546
4955,2183911
4955,3027
4955,131120
4955,14999
4955,100507
4955,105685
4955,32055
4955,13333
4955,1259
4955,12453
4955,138
15175,52267
15175,59872
15175,204962
15175,1233541
15175,30807
15175,670
15175,8750
15175,8349
15175,1397846
15175,2166741
15175,1666
15175,2226
15175,1776
3027,107094
3027,112167
3027,131120
3027,38832
3027,1521150
3027,12074
3027,11155
3027,4027
3027,1330888
3027,83002
3027,2501669
3027,31
3027,3718
3027,2574294
